district,state,cluster,Youth Population %,Sex Ratio (Total),Sex Ratio (Birth),Adolescent Fertility %,Child Marriage %,Women Literacy %,Women 10+ Yrs School %,Modern FP Use %,Unmet FP Need %,ANC 1st Trimester %,ANC 4+ Visits %,Institutional Births %,Full Vaccination %,Stunting %,Underweight Children %,Women Anaemia %,Improved Sanitation %,Clean Fuel %,Health Insurance %,cluster_label,transition_stage,dividend_potential
Suryapet,Telangana,3,18.86,1031.67,979.86,6.18,29.47,63.48,42.53,77.93,4.03,92.72,70.42,95.94,-70.37,29.14,30.05,57.48,77.94,94.54,63.13,,mid,emerging
Vikarabad,Telangana,2,24.86,998.31,774.64,9.96,39.76,59.32,38.34,69.75,4.6,77.97,54.82,95.01,86.21,32.12,37.12,61.0,66.72,75.98,59.56,,mid,emerging
Wanaparthy,Telangana,2,24.75,1018.45,987.18,4.73,32.6,52.05,37.01,75.68,3.55,91.35,62.77,98.95,-86.95,40.42,33.22,58.67,75.86,88.88,70.14,,mid,emerging
Warangal Rural,Telangana,2,17.25,1070.14,697.63,12.87,22.85,60.14,39.98,57.5,9.35,86.8,70.42,100.0,-79.0,36.13,37.94,59.32,74.34,87.77,71.98,,mid,emerging
Warangal Urban,Telangana,3,20.2,1086.94,829.37,4.29,22.67,76.91,57.16,64.38,8.88,88.38,71.31,99.7,-70.09,29.54,36.02,57.85,81.2,94.55,61.99,,mid,emerging
Yadadri Bhuvanagiri,Telangana,3,23.04,1071.12,953.53,1.65,21.58,68.38,47.95,74.96,4.97,92.12,67.23,97.68,76.71,38.28,27.22,53.78,81.94,94.87,65.25,,mid,emerging
Dhalai,Tripura,1,27.16,1034.03,1160.17,26.91,38.89,71.63,13.87,53.29,3.99,58.07,52.02,87.26,73.72,45.74,27.62,69.99,67.56,33.95,44.2,,mid,low
Gomati,Tripura,2,24.15,1011.39,1042.79,24.37,42.75,77.15,22.77,48.7,12.14,54.01,40.63,93.2,-67.05,22.67,29.02,62.25,77.44,47.71,29.94,,mid,emerging
Khowai,Tripura,2,23.53,1058.71,959.03,24.27,28.28,80.46,18.87,49.86,4.12,57.17,41.5,95.72,-60.65,47.01,24.73,63.73,67.79,41.48,44.14,,mid,emerging
North Tripura,Tripura,2,26.2,1040.17,913.2,11.94,34.19,83.12,23.68,54.35,6.05,75.46,67.1,85.36,69.59,26.24,32.15,69.25,74.13,41.6,28.65,,mid,emerging
Sepahijala,Tripura,1,23.43,1021.45,929.7,26.55,51.92,79.61,21.73,44.18,15.34,61.93,52.78,87.73,-70.3,34.54,20.99,69.39,75.38,37.11,31.6,,mid,low
South Tripura,Tripura,1,24.51,1053.88,1135.65,23.1,46.23,80.25,21.64,40.31,17.26,54.2,58.42,89.72,-48.45,25.53,21.64,66.51,68.61,29.44,37.28,,mid,low
Unakoti,Tripura,1,27.41,1079.1,1036.36,21.15,37.97,76.35,18.7,40.18,9.7,40.98,24.59,71.5,58.26,31.77,31.97,67.86,61.75,29.19,28.01,,mid,low
West Tripura,Tripura,2,20.15,936.77,1047.64,20.24,37.11,86.19,30.9,53.85,2.49,78.71,61.22,95.27,-88.41,30.3,21.18,67.25,80.21,65.16,28.12,,mid,emerging
Saharanpur,Uttar Pradesh,0,28.51,984.27,1022.28,1.33,7.01,73.79,38.23,48.85,4.34,78.72,52.44,81.65,89.16,28.82,26.73,41.38,83.8,56.58,11.79,,mid,emerging
Bijnor,Uttar Pradesh,0,30.74,1059.01,950.71,1.15,5.18,74.11,39.66,47.3,5.01,68.71,48.8,83.69,90.56,36.16,21.87,45.96,78.21,45.8,18.82,,mid,emerging
Rampur,Uttar Pradesh,0,31.08,1021.86,968.28,3.54,10.45,59.33,26.87,29.98,12.0,73.76,50.36,81.01,79.39,40.35,32.12,55.44,79.01,46.18,13.07,,mid,emerging
Jyotiba Phule Nagar,Uttar Pradesh,0,32.53,1000.74,860.1,4.02,11.63,64.39,35.39,45.31,6.84,70.44,43.87,81.06,72.9,42.24,35.43,47.56,78.85,45.43,8.3,,mid,emerging
Meerut,Uttar Pradesh,0,30.32,967.07,925.79,2.41,7.55,80.17,47.32,48.83,5.63,73.37,49.87,80.61,82.49,32.1,23.65,45.46,82.65,68.47,18.38,,mid,emerging
Baghpat,Uttar Pradesh,0,29.78,937.66,818.4,2.67,8.08,78.13,43.97,45.22,5.15,79.39,42.36,80.86,83.87,25.49,25.97,53.3,87.01,51.47,12.45,,mid,emerging
Gautam Buddha Nagar,Uttar Pradesh,3,28.52,896.91,735.05,2.12,13.51,80.6,51.89,55.89,5.31,75.32,52.74,86.58,68.22,25.48,21.91,59.43,74.01,75.04,23.76,,mid,emerging
Bulandshahr,Uttar Pradesh,0,31.31,978.71,840.95,5.52,12.84,72.11,37.75,40.37,5.05,78.28,47.61,83.5,67.29,37.64,26.47,52.01,81.45,48.4,20.53,,mid,emerging
Aligarh,Uttar Pradesh,0,32.1,1030.99,1030.28,4.5,15.84,68.71,37.48,39.67,6.39,69.49,44.68,82.58,70.06,35.04,26.27,56.51,69.39,51.42,17.61,,mid,emerging
Mahamaya Nagar,Uttar Pradesh,0,31.89,1029.3,988.56,5.65,28.09,68.66,39.06,37.51,13.81,49.08,27.8,80.31,71.55,39.08,24.54,58.24,73.27,46.45,10.91,,mid,emerging
Mathura,Uttar Pradesh,0,32.68,934.52,930.04,6.37,21.29,67.93,34.66,43.12,12.88,59.27,39.3,79.48,73.59,31.58,21.29,63.01,71.22,47.34,10.77,,mid,emerging
Agra,Uttar Pradesh,0,30.47,951.72,901.72,3.54,17.92,64.97,36.14,47.08,8.96,62.06,42.65,89.08,74.06,35.85,26.17,59.44,70.78,67.51,9.4,,mid,emerging
Firozabad,Uttar Pradesh,0,31.89,950.31,870.87,3.6,24.75,74.35,42.44,34.63,9.19,58.29,39.25,80.07,67.14,46.91,25.58,57.08,69.01,53.5,13.4,,mid,emerging
Mainpuri,Uttar Pradesh,0,30.86,1015.93,837.36,3.98,16.04,78.35,45.78,46.39,4.44,63.65,38.13,82.65,74.98,44.26,33.59,57.78,63.1,39.79,16.13,,mid,emerging
Bareilly,Uttar Pradesh,1,31.28,964.87,1084.39,5.63,11.36,54.71,22.07,43.47,5.88,72.17,43.05,75.05,70.45,45.87,35.24,60.8,79.71,54.56,18.67,,mid,low
Pilibhit,Uttar Pradesh,2,29.59,921.6,813.73,4.57,16.23,59.31,28.47,45.53,4.86,67.49,43.58,76.19,92.27,38.86,39.42,52.0,76.81,48.05,21.4,,mid,emerging
Shahjahanpur,Uttar Pradesh,1,34.4,976.88,1063.79,4.59,20.93,59.47,27.73,46.41,6.4,61.38,35.32,63.25,76.5,44.48,34.73,60.32,69.21,40.4,14.24,,mid,low
Kheri,Uttar Pradesh,1,32.44,998.04,900.96,3.56,19.71,61.99,28.71,37.85,16.1,53.9,47.98,82.77,69.49,47.59,36.29,52.95,65.61,35.91,22.01,,mid,low
Sitapur,Uttar Pradesh,1,33.61,969.63,1010.77,3.43,20.76,59.16,23.9,36.52,17.91,66.82,35.39,84.81,65.94,47.8,37.86,55.29,52.51,31.48,23.22,,mid,low
Hardoi,Uttar Pradesh,1,32.38,975.14,1096.87,2.75,19.32,59.3,26.47,46.17,13.43,67.96,39.68,73.93,63.27,44.54,32.95,59.67,55.72,28.97,16.03,,mid,low
Unnao,Uttar Pradesh,0,28.14,992.73,959.55,2.24,18.94,68.18,36.99,46.23,19.14,44.73,19.76,80.84,58.57,39.17,29.25,48.92,60.29,43.44,15.33,,mid,emerging
Lucknow,Uttar Pradesh,0,23.47,949.66,981.39,2.08,9.9,79.8,51.87,40.16,15.66,74.8,53.08,91.32,68.89,32.09,25.53,55.76,80.43,78.26,15.76,,mid,emerging
Farrukhabad,Uttar Pradesh,1,32.66,972.25,789.17,4.07,18.78,65.09,33.33,40.01,7.72,71.42,41.5,69.29,68.54,47.81,31.13,56.94,72.63,45.5,13.48,,mid,low
Kannauj,Uttar Pradesh,2,32.72,1002.89,1037.81,1.34,10.36,68.25,37.31,60.31,7.22,65.63,46.44,76.41,55.84,42.99,33.51,65.21,70.1,35.47,15.32,,mid,emerging
Etawah,Uttar Pradesh,0,29.41,967.74,799.2,2.17,16.26,79.66,45.68,48.86,8.25,67.94,43.71,85.21,77.67,38.77,24.33,57.38,78.05,48.63,17.94,,mid,emerging
Auraiya,Uttar Pradesh,0,29.26,1020.97,879.79,4.86,18.09,79.26,46.2,32.31,18.66,72.17,50.37,90.11,82.51,39.74,32.58,39.13,74.3,33.69,18.44,,mid,emerging
Kanpur Dehat,Uttar Pradesh,0,27.85,974.11,1027.01,1.92,12.66,75.56,45.41,41.59,15.0,66.78,54.4,84.3,56.32,44.09,32.82,54.85,70.59,39.26,17.92,,mid,emerging
Kanpur Nagar,Uttar Pradesh,3,24.47,925.16,815.91,3.41,10.92,82.7,58.51,57.4,6.75,78.39,69.85,86.61,72.79,34.6,27.75,57.03,77.51,76.86,16.12,,mid,emerging
Jalaun,Uttar Pradesh,0,26.01,937.19,796.82,2.2,16.86,70.98,38.9,50.48,13.48,67.85,62.84,85.13,66.23,45.1,36.07,44.23,80.17,36.45,17.6,,mid,emerging
Jhansi,Uttar Pradesh,0,24.73,946.43,926.98,3.47,25.05,72.45,43.26,53.62,13.75,70.3,36.6,92.89,44.5,40.93,39.28,41.33,73.18,51.91,11.37,,mid,emerging
Lalitpur,Uttar Pradesh,1,31.7,997.02,998.23,9.41,42.5,61.33,23.78,65.73,7.36,65.74,45.7,90.79,70.77,46.61,34.84,38.07,64.19,20.32,11.74,,mid,low
Hamirpur,Uttar Pradesh,0,28.22,1003.02,881.81,1.39,10.48,73.23,37.61,47.47,14.4,77.72,43.24,96.28,77.13,48.02,36.28,46.11,77.7,29.0,21.91,,mid,emerging
Mahoba,Uttar Pradesh,0,28.37,972.37,1056.17,3.95,20.75,69.65,30.69,52.04,16.56,76.04,46.24,96.32,70.68,42.28,33.42,49.37,68.95,28.17,16.23,,mid,emerging
Banda,Uttar Pradesh,1,30.63,956.31,971.2,2.52,18.98,62.61,27.08,45.6,15.28,66.93,39.02,89.78,62.88,50.98,49.8,52.22,59.29,26.82,13.25,,mid,low
Chitrakoot,Uttar Pradesh,1,31.26,949.99,889.41,3.54,21.82,62.11,30.17,49.03,12.69,53.68,30.25,81.06,63.69,47.45,41.78,46.57,56.65,31.17,17.36,,mid,low
Fatehpur,Uttar Pradesh,1,29.03,1034.86,890.28,3.28,10.4,66.45,37.27,57.96,9.66,56.33,38.09,81.36,55.68,51.06,37.97,62.98,63.1,38.85,16.83,,mid,low
Pratapgarh,Uttar Pradesh,0,29.03,1229.37,1034.37,0.74,10.98,77.73,49.69,33.59,21.91,57.2,30.62,90.82,74.97,35.47,27.71,48.9,52.01,37.12,14.9,,mid,emerging
Kaushambi,Uttar Pradesh,1,34.89,1068.59,971.76,2.9,17.55,61.99,31.93,38.28,12.52,72.22,34.04,88.64,65.71,40.2,36.79,54.38,59.6,37.03,20.16,,mid,low
Allahabad,Uttar Pradesh,0,31.54,1083.06,1191.08,1.98,13.81,70.84,47.56,45.57,11.88,58.27,45.88,83.19,55.84,37.87,32.63,46.38,59.5,45.05,20.55,,mid,emerging
Bara Banki,Uttar Pradesh,1,32.61,1073.98,950.97,3.4,20.4,61.13,29.5,38.29,21.44,43.28,22.56,75.98,64.41,41.89,31.9,55.27,62.4,47.77,14.63,,mid,low
Faizabad,Uttar Pradesh,0,29.06,1049.25,885.49,1.97,7.61,77.7,48.99,21.01,25.9,48.37,33.76,89.11,68.66,30.62,27.52,52.31,64.4,41.32,19.81,,mid,emerging
Ambedkar Nagar,Uttar Pradesh,0,29.15,1096.59,818.14,0.0,5.48,78.51,52.95,20.66,22.85,61.14,44.47,92.17,75.07,31.05,29.18,52.7,63.55,32.2,23.0,,mid,emerging
Bahraich,Uttar Pradesh,1,41.02,1012.24,848.1,8.37,37.48,41.64,14.43,33.39,27.58,40.18,34.27,67.67,51.77,52.11,38.04,48.81,44.16,38.2,10.11,,mid,low
Shrawasti,Uttar Pradesh,1,40.15,1036.53,971.05,5.26,51.9,40.75,15.93,35.6,20.13,42.17,42.35,80.42,59.61,50.93,40.76,44.41,58.1,36.94,13.49,,mid,low
Balrampur,Uttar Pradesh,1,38.92,1074.88,1034.04,4.12,35.03,44.94,16.8,39.42,22.28,55.21,40.97,69.71,57.37,41.15,37.16,53.7,59.65,39.61,12.99,,mid,low
Gonda,Uttar Pradesh,1,32.43,1077.62,895.94,4.15,25.38,60.39,31.46,37.12,24.47,44.39,41.68,81.77,59.94,45.9,28.0,49.31,44.57,56.17,13.37,,mid,low
Siddharthnagar,Uttar Pradesh,1,40.97,1176.96,851.68,3.67,33.85,49.14,16.99,52.49,14.38,62.8,60.86,69.74,65.12,37.17,36.32,51.17,42.81,50.55,12.17,,mid,low
Basti,Uttar Pradesh,0,31.74,1098.17,895.08,1.04,15.94,65.27,40.92,53.77,11.12,45.04,31.46,93.18,73.81,35.88,39.17,39.9,64.15,57.01,15.84,,mid,emerging
Sant Kabir Nagar,Uttar Pradesh,0,34.59,1185.48,835.38,1.85,16.78,62.7,34.77,48.51,13.02,62.1,43.22,90.59,80.15,42.26,34.21,43.45,65.12,58.09,20.38,,mid,emerging
Mahrajganj,Uttar Pradesh,1,32.37,1115.97,933.08,3.56,24.05,64.13,33.78,49.55,13.73,55.49,52.52,93.26,76.15,40.46,37.38,47.07,66.73,65.06,18.16,,mid,low
Gorakhpur,Uttar Pradesh,0,30.53,1089.38,942.67,2.4,14.56,70.14,42.81,48.89,14.65,63.93,56.32,91.59,67.7,29.59,33.65,52.89,69.63,66.8,17.94,,mid,emerging
Kushinagar,Uttar Pradesh,0,34.9,1145.48,1079.5,2.6,17.69,64.41,34.09,48.45,14.51,44.37,35.79,89.43,65.41,32.18,36.6,42.29,73.08,55.19,15.63,,mid,emerging
Deoria,Uttar Pradesh,0,30.28,1046.0,1001.81,2.07,13.7,73.7,50.37,45.92,20.44,55.9,42.45,93.42,64.22,36.77,39.37,33.83,69.09,67.2,10.51,,mid,emerging
Azamgarh,Uttar Pradesh,0,29.34,1140.81,838.87,0.33,11.97,78.9,52.6,31.37,20.73,53.67,38.48,93.23,64.46,33.38,27.96,54.29,72.76,37.57,9.0,,mid,emerging
Mau,Uttar Pradesh,0,27.17,989.14,938.35,0.32,11.03,74.44,53.13,38.99,16.83,64.37,43.2,94.74,59.08,25.42,30.25,44.28,75.09,54.15,15.97,,mid,emerging
Ballia,Uttar Pradesh,0,29.02,1008.55,1062.18,1.7,9.92,73.3,50.11,41.92,20.22,64.0,30.52,89.96,62.22,43.8,42.49,52.24,61.66,53.79,10.59,,mid,emerging
Jaunpur,Uttar Pradesh,0,29.33,1065.74,898.28,0.59,11.77,77.28,52.67,55.16,16.21,47.87,47.58,88.77,75.12,40.52,30.33,34.0,62.62,55.24,12.02,,mid,emerging
Ghazipur,Uttar Pradesh,0,29.61,1052.7,971.89,1.85,13.52,75.84,51.43,51.2,13.36,58.1,29.22,88.32,60.82,39.31,38.27,45.68,64.05,39.31,10.64,,mid,emerging
Chandauli,Uttar Pradesh,0,30.51,985.59,877.31,2.13,17.23,73.85,47.16,48.71,15.37,69.32,32.91,86.24,70.58,39.48,29.94,48.69,66.7,42.34,28.05,,mid,emerging
Varanasi,Uttar Pradesh,0,27.31,951.36,885.28,0.0,10.36,80.61,55.02,60.93,8.67,74.3,51.4,95.17,79.28,37.38,39.02,37.6,83.19,71.53,12.78,,mid,emerging
Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,0,33.68,1081.69,838.9,1.7,19.61,72.57,46.45,40.17,22.37,53.64,25.78,90.3,62.16,42.71,26.51,43.79,68.76,39.91,18.81,,mid,emerging
Mirzapur,Uttar Pradesh,0,31.88,1002.61,812.39,2.43,16.61,73.39,43.79,53.29,14.53,55.67,36.51,91.09,68.27,43.4,27.59,42.05,72.33,42.51,15.0,,mid,emerging
Sonbhadra,Uttar Pradesh,1,31.79,994.9,974.34,6.93,17.68,64.8,35.69,53.56,11.61,63.59,36.38,76.76,72.69,38.26,46.49,44.54,70.56,30.44,19.66,,mid,low
Etah,Uttar Pradesh,1,33.15,1047.06,1003.78,4.29,20.08,70.8,38.77,39.73,6.99,54.12,33.6,76.69,55.49,48.77,30.59,55.41,62.72,39.62,12.78,,mid,low
Kanshiram Nagar,Uttar Pradesh,1,35.51,1039.54,997.44,7.55,23.16,60.6,29.66,31.32,11.82,61.24,38.09,74.81,69.19,45.11,35.53,64.59,69.78,36.63,15.08,,mid,low
Amethi,Uttar Pradesh,0,32.12,1169.62,843.61,1.91,14.87,67.28,34.55,30.45,19.88,72.56,31.69,90.76,75.88,35.8,33.09,46.12,60.9,26.39,20.91,,mid,emerging
Budaun,Uttar Pradesh,1,35.34,933.36,869.84,6.95,22.85,52.39,21.56,42.01,4.27,58.45,40.57,72.31,69.52,51.79,43.02,55.31,69.66,39.84,13.55,,mid,low
Ghaziabad,Uttar Pradesh,3,24.89,930.39,1182.1,0.61,8.03,81.78,55.23,51.14,5.32,77.24,62.0,86.44,68.51,28.15,23.35,55.15,84.51,92.4,20.0,,mid,emerging
Hapur,Uttar Pradesh,0,31.38,917.47,784.88,0.81,7.12,75.29,43.53,47.58,4.75,80.1,53.31,83.33,84.43,30.23,26.93,50.59,85.61,67.99,14.85,,mid,emerging
Moradabad,Uttar Pradesh,0,29.38,1001.91,1022.05,1.53,9.6,69.41,42.58,47.68,6.9,73.72,33.15,80.26,84.5,34.69,27.0,44.93,78.99,58.28,17.07,,mid,emerging
Muzaffarnagar,Uttar Pradesh,0,30.36,956.97,865.47,0.95,7.28,73.41,41.83,44.86,4.97,75.54,44.02,86.99,69.51,29.76,29.86,45.99,80.12,59.76,8.2,,mid,emerging
Rae Bareli,Uttar Pradesh,0,30.42,1102.18,870.78,1.29,14.34,66.45,36.13,55.81,12.43,58.75,43.57,89.51,71.41,47.02,28.83,48.2,54.96,39.41,16.84,,mid,emerging
Sambhal,Uttar Pradesh,1,35.47,1019.12,939.59,4.32,21.13,52.57,24.14,40.14,8.48,60.78,32.87,74.24,83.04,51.59,29.82,51.25,72.82,38.16,13.72,,mid,low
Shamli,Uttar Pradesh,0,31.26,988.68,1028.56,2.33,10.84,65.82,32.6,45.64,5.55,82.67,40.98,78.29,91.08,28.62,27.49,41.68,83.32,53.58,14.75,,mid,emerging
Sultanpur,Uttar Pradesh,0,31.43,1151.21,996.74,1.11,7.94,74.94,46.58,24.33,23.93,59.61,47.0,86.96,80.24,33.4,28.29,50.2,65.08,33.68,20.65,,mid,emerging
Uttarkashi,Uttarakhand,2,24.95,1023.55,868.74,4.75,5.71,81.23,53.58,60.23,7.66,77.09,66.81,85.87,81.78,34.08,23.52,60.94,75.73,32.56,80.29,,mid,emerging
Chamoli,Uttarakhand,0,26.09,1087.25,1026.06,2.95,3.38,90.45,58.95,64.03,9.29,58.59,52.22,73.94,85.01,34.06,21.62,41.75,87.59,37.44,71.12,,mid,emerging
Rudraprayag,Uttarakhand,3,25.02,1242.27,958.26,1.76,8.58,87.17,56.36,61.31,12.23,74.2,76.51,86.62,91.44,25.15,10.88,40.55,86.82,35.07,76.64,,mid,emerging
Tehri Garhwal,Uttarakhand,0,25.73,1235.96,865.87,1.74,6.27,75.54,50.79,52.36,13.75,62.34,48.89,82.15,83.0,29.3,20.72,42.22,84.57,34.88,71.17,,mid,emerging
Dehradun,Uttarakhand,3,23.09,914.91,822.94,0.41,6.63,87.59,62.59,59.13,6.51,83.53,75.26,91.73,-76.02,20.92,19.09,47.85,83.92,88.79,67.31,,mid,emerging
Garhwal,Uttarakhand,0,23.01,1166.04,1064.73,1.32,8.62,85.83,56.18,63.99,9.9,49.03,39.62,76.02,-75.96,29.97,18.76,40.3,83.3,48.13,62.66,,mid,emerging
Pithoragarh,Uttarakhand,0,22.17,1043.11,910.94,3.65,16.16,89.1,55.48,63.63,11.25,68.7,58.71,84.89,96.02,25.64,20.63,25.53,84.46,45.91,72.84,,mid,emerging
Bageshwar,Uttarakhand,3,24.6,1173.73,940.48,1.66,12.85,87.78,52.22,66.41,8.42,63.84,67.93,82.01,-86.88,23.57,11.87,27.76,88.47,34.59,71.93,,mid,emerging
Almora,Uttarakhand,0,23.16,1330.9,1443.53,1.66,1.48,88.02,48.03,70.47,6.35,52.34,44.33,80.1,-85.13,26.01,22.87,33.44,89.23,35.85,65.98,,mid,emerging
Champawat,Uttarakhand,0,27.58,1111.82,926.42,1.85,11.68,84.73,50.99,57.67,10.35,72.27,62.03,79.84,91.89,24.9,15.29,32.5,82.68,39.81,65.67,,mid,emerging
Nainital,Uttarakhand,3,25.79,1014.37,1135.55,2.03,11.26,85.4,55.2,64.43,6.48,69.98,59.74,81.23,74.05,23.15,14.84,34.53,82.4,71.56,60.79,,mid,emerging
Udham Singh Nagar,Uttarakhand,2,27.87,956.8,1021.89,5.15,14.59,72.26,41.11,51.85,7.18,77.28,75.92,85.14,83.19,26.8,22.04,51.01,70.88,63.99,59.03,,mid,emerging
Hardwar,Uttarakhand,0,31.04,945.6,985.14,2.28,9.88,76.39,40.29,50.93,11.81,57.35,48.46,79.84,76.51,31.07,27.03,43.77,69.82,61.53,46.64,,mid,emerging
Darjiling,West Bengal,3,20.69,1029.32,1058.56,6.33,21.15,76.99,41.28,67.01,5.86,84.96,79.18,98.35,94.2,34.27,31.57,59.17,83.03,68.79,26.31,,mid,emerging
Jalpaiguri,West Bengal,2,22.61,1037.78,1098.76,11.77,18.69,73.6,33.92,70.11,4.02,77.48,88.39,95.84,87.87,28.89,25.42,71.42,73.17,42.7,35.78,,mid,emerging
Koch Bihar,West Bengal,2,24.98,1057.73,958.85,27.26,46.74,79.18,26.67,67.67,4.55,71.29,77.34,93.03,94.15,28.67,22.45,74.76,75.71,25.68,35.95,,mid,emerging
Uttar Dinajpur,West Bengal,2,29.22,1092.72,1154.72,12.71,30.34,65.35,29.32,60.93,4.35,76.55,70.08,76.89,84.4,44.76,32.03,72.42,63.78,27.21,20.96,,mid,emerging
Dakshin Dinajpur,West Bengal,2,23.36,1106.27,1067.27,18.15,45.6,74.31,30.47,58.98,6.13,70.85,76.37,91.4,92.55,31.93,30.16,82.04,79.03,28.7,28.25,,mid,emerging
Maldah,West Bengal,1,30.15,1061.79,942.23,18.92,49.08,72.25,30.02,54.65,9.21,77.75,82.75,87.68,87.2,40.54,35.3,73.6,61.98,29.6,28.96,,mid,low
Murshidabad,West Bengal,1,29.32,1102.84,1054.17,20.63,55.44,67.55,24.16,64.89,3.52,73.92,66.85,86.99,89.95,39.75,32.43,77.57,69.66,30.71,28.39,,mid,low
Birbhum,West Bengal,2,25.66,1033.15,934.02,24.97,49.89,70.79,25.76,73.85,4.84,81.85,78.38,90.31,81.55,36.99,41.8,77.71,55.04,28.13,37.67,,mid,emerging
Nadia,West Bengal,2,21.49,1070.93,981.63,15.13,39.94,76.15,28.25,49.32,12.93,61.08,71.15,97.73,-89.88,26.07,25.14,73.35,78.4,34.22,23.03,,mid,emerging
North Twenty Four Pargana,West Bengal,3,20.62,1013.26,888.64,11.54,33.57,85.53,40.69,60.99,4.4,72.72,89.91,97.46,-92.75,32.36,23.6,65.27,80.39,58.87,30.73,,mid,emerging
Hugli,West Bengal,2,19.9,1082.39,1024.52,13.17,40.78,77.4,36.96,61.27,6.99,75.96,72.24,96.95,-95.4,28.94,33.36,75.06,76.22,54.6,26.49,,mid,emerging
Bankura,West Bengal,2,22.56,1053.13,1001.57,16.04,45.72,68.3,27.93,51.85,11.97,74.71,75.66,93.28,-85.02,30.34,38.83,77.04,49.2,20.82,43.43,,mid,emerging
Puruliya,West Bengal,1,25.36,1064.8,859.99,12.0,37.01,60.95,26.87,41.31,16.11,59.07,57.77,89.76,84.66,36.91,46.33,76.7,29.24,23.17,35.58,,mid,low
Haora,West Bengal,3,21.19,1010.58,1061.68,9.4,30.4,80.48,40.07,68.41,3.16,84.78,82.71,95.54,-87.78,27.5,27.25,65.25,72.93,61.91,20.07,,mid,emerging
Kolkata,West Bengal,3,15.98,953.75,809.31,4.86,16.66,87.6,55.35,71.72,2.21,74.21,71.74,97.47,-80.16,29.63,32.91,58.18,60.87,91.71,21.08,,mid,emerging
South Twenty Four Pargana,West Bengal,2,25.49,1054.81,1099.04,13.09,41.91,85.59,34.94,67.89,3.74,77.08,87.5,91.04,91.66,36.7,32.15,61.62,70.08,36.19,36.72,,mid,emerging
Paschim Medinipur,West Bengal,1,23.43,1088.57,1005.04,24.99,55.69,70.85,26.19,55.58,11.52,52.62,63.09,87.58,76.93,31.07,39.99,81.49,58.33,17.46,25.75,,mid,low
Purba Medinipur,West Bengal,1,23.85,1031.4,777.38,22.04,57.61,77.0,30.87,48.08,12.29,69.33,56.81,91.48,88.37,25.77,30.59,70.39,69.78,17.01,21.53,,mid,low
Paschim Barddhaman,West Bengal,2,22.32,977.46,786.93,15.42,31.84,73.45,37.12,54.02,11.96,70.28,70.41,89.79,62.4,39.74,40.96,65.81,71.46,56.29,21.82,,mid,emerging
Purba Barddhaman,West Bengal,2,22.21,1067.12,877.1,21.85,50.35,73.19,27.32,58.51,8.58,72.5,80.5,95.95,97.2,32.67,31.63,77.86,64.15,32.05,37.18,,mid,emerging
